,Height,RewardFee,Transactions,blockchain,nonce,time,Time,AvgFee/Tx
0,786880,0.0,1,DASH.main,0,2017-12-14T05:59:55Z,2017-12-14 05:59:55,0.0
1,786879,0.04738625,31,DASH.main,0,2017-12-14T05:59:49Z,2017-12-14 05:59:49,0.0015285887096774193
2,786878,0.015655350000000002,72,DASH.main,0,2017-12-14T05:54:38Z,2017-12-14 05:54:38,0.0002174354166666667
3,786877,0.02077573,35,DASH.main,0,2017-12-14T05:48:15Z,2017-12-14 05:48:15,0.0005935922857142857
4,786876,3.821e-05,2,DASH.main,0,2017-12-14T05:42:42Z,2017-12-14 05:42:42,1.9105e-05
5,786875,0.00380211,16,DASH.main,0,2017-12-14T05:42:39Z,2017-12-14 05:42:39,0.000237631875
6,786874,0.00246176,7,DASH.main,0,2017-12-14T05:39:37Z,2017-12-14 05:39:37,0.00035168
7,786873,0.0007430000000000001,7,DASH.main,0,2017-12-14T05:39:08Z,2017-12-14 05:39:08,0.00010614285714285715
8,786872,0.02576898,21,DASH.main,0,2017-12-14T05:37:43Z,2017-12-14 05:37:43,0.0012270942857142858
9,786871,0.02302678,110,DASH.main,0,2017-12-14T05:35:36Z,2017-12-14 05:35:36,0.00020933436363636363
10,786870,0.01421919,48,DASH.main,0,2017-12-14T05:21:19Z,2017-12-14 05:21:19,0.000296233125
11,786869,0.00280333,13,DASH.main,0,2017-12-14T05:16:36Z,2017-12-14 05:16:36,0.00021564076923076924
12,786868,0.00102316,3,DASH.main,0,2017-12-14T05:13:40Z,2017-12-14 05:13:40,0.00034105333333333334
13,786867,0.00972678,41,DASH.main,0,2017-12-14T05:12:41Z,2017-12-14 05:12:41,0.00023723853658536587
14,786866,0.0062223700000000005,21,DASH.main,0,2017-12-14T05:06:24Z,2017-12-14 05:06:24,0.00029630333333333336
15,786865,0.00079454,8,DASH.main,0,2017-12-14T05:03:34Z,2017-12-14 05:03:34,9.93175e-05
16,786864,0.00323038,13,DASH.main,0,2017-12-14T05:02:18Z,2017-12-14 05:02:18,0.0002484907692307692
17,786863,0.014416390000000001,48,DASH.main,0,2017-12-14T05:00:28Z,2017-12-14 05:00:28,0.00030034145833333334
0,786862,0.01475974,19,DASH.main,0,2017-12-14T04:52:24Z,2017-12-14 04:52:24,0.0007768284210526316
1,786861,0.01191516,10,DASH.main,0,2017-12-14T04:50:33Z,2017-12-14 04:50:33,0.001191516
2,786860,0.00136825,10,DASH.main,0,2017-12-14T04:48:13Z,2017-12-14 04:48:13,0.000136825
3,786859,0.0,1,DASH.main,0,2017-12-14T04:47:11Z,2017-12-14 04:47:11,0.0
4,786858,0.0002,2,DASH.main,0,2017-12-14T04:47:05Z,2017-12-14 04:47:05,0.0001
5,786857,0.00022304,4,DASH.main,0,2017-12-14T04:47:01Z,2017-12-14 04:47:01,5.576e-05
6,786856,0.00404241,14,DASH.main,0,2017-12-14T04:46:19Z,2017-12-14 04:46:19,0.0002887435714285714
7,786855,0.01064397,40,DASH.main,0,2017-12-14T04:44:27Z,2017-12-14 04:44:27,0.00026609925000000003
8,786854,0.00286335,10,DASH.main,0,2017-12-14T04:38:29Z,2017-12-14 04:38:29,0.00028633500000000003
9,786853,0.0,1,DASH.main,0,2017-12-14T04:36:47Z,2017-12-14 04:36:47,0.0
10,786852,0.00010496,3,DASH.main,0,2017-12-14T04:36:43Z,2017-12-14 04:36:43,3.498666666666667e-05
11,786851,0.00028700000000000004,3,DASH.main,0,2017-12-14T04:36:15Z,2017-12-14 04:36:15,9.566666666666666e-05
12,786850,0.00387695,31,DASH.main,0,2017-12-14T04:36:04Z,2017-12-14 04:36:04,0.00012506290322580646
13,786849,0.0002695,12,DASH.main,0,2017-12-14T04:33:09Z,2017-12-14 04:33:09,2.245833333333333e-05
14,786848,0.00129036,7,DASH.main,0,2017-12-14T04:33:06Z,2017-12-14 04:33:06,0.00018433714285714288
15,786847,0.00100511,9,DASH.main,0,2017-12-14T04:32:59Z,2017-12-14 04:32:59,0.00011167888888888891
16,786846,0.08438949,44,DASH.main,0,2017-12-14T04:31:46Z,2017-12-14 04:31:46,0.0019179429545454548
17,786845,0.00017163,4,DASH.main,0,2017-12-14T04:28:57Z,2017-12-14 04:28:57,4.29075e-05
18,786844,0.00079674,3,DASH.main,0,2017-12-14T04:28:03Z,2017-12-14 04:28:03,0.00026558
19,786843,0.0007480000000000001,2,DASH.main,0,2017-12-14T04:27:35Z,2017-12-14 04:27:35,0.00037400000000000004
20,786842,0.00182692,11,DASH.main,0,2017-12-14T04:27:31Z,2017-12-14 04:27:31,0.00016608363636363638
21,786841,0.01769905,14,DASH.main,0,2017-12-14T04:25:26Z,2017-12-14 04:25:26,0.0012642178571428573
22,786840,0.0028233200000000003,14,DASH.main,0,2017-12-14T04:22:21Z,2017-12-14 04:22:21,0.0002016657142857143
23,786839,0.00444973,14,DASH.main,0,2017-12-14T04:20:36Z,2017-12-14 04:20:36,0.0003178378571428572
24,786838,0.00057908,7,DASH.main,0,2017-12-14T04:18:09Z,2017-12-14 04:18:09,8.27257142857143e-05
25,786837,0.00753874,43,DASH.main,0,2017-12-14T04:16:49Z,2017-12-14 04:16:49,0.00017531953488372093
26,786836,0.11011212,88,DASH.main,0,2017-12-14T04:08:49Z,2017-12-14 04:08:49,0.001251274090909091
27,786835,0.00982988,36,DASH.main,0,2017-12-14T03:56:44Z,2017-12-14 03:56:44,0.0002730522222222222
28,786834,0.00691025,15,DASH.main,0,2017-12-14T03:52:39Z,2017-12-14 03:52:39,0.0004606833333333333
29,786833,2.315e-05,2,DASH.main,0,2017-12-14T03:50:45Z,2017-12-14 03:50:45,1.1575e-05
30,786832,0.00257583,9,DASH.main,0,2017-12-14T03:50:13Z,2017-12-14 03:50:13,0.0002862033333333333
31,786831,0.02170019,62,DASH.main,0,2017-12-14T03:49:43Z,2017-12-14 03:49:43,0.00035000306451612903
32,786830,0.06502631,75,DASH.main,0,2017-12-14T03:39:19Z,2017-12-14 03:39:19,0.0008670174666666668
33,786829,0.0012554,4,DASH.main,0,2017-12-14T03:31:39Z,2017-12-14 03:31:39,0.00031385
34,786828,0.0012423,5,DASH.main,0,2017-12-14T03:31:35Z,2017-12-14 03:31:35,0.00024846
35,786827,0.00147316,4,DASH.main,0,2017-12-14T03:31:01Z,2017-12-14 03:31:01,0.00036829
36,786826,0.01363882,36,DASH.main,0,2017-12-14T03:30:39Z,2017-12-14 03:30:39,0.0003788561111111112
37,786825,0.01550732,44,DASH.main,0,2017-12-14T03:25:36Z,2017-12-14 03:25:36,0.00035243909090909093
38,786824,0.00012790000000000002,2,DASH.main,0,2017-12-14T03:18:58Z,2017-12-14 03:18:58,6.395e-05
39,786823,0.00159488,7,DASH.main,0,2017-12-14T03:18:30Z,2017-12-14 03:18:30,0.00022784
40,786822,0.00153755,10,DASH.main,0,2017-12-14T03:16:49Z,2017-12-14 03:16:49,0.000153755
41,786821,0.00902481,20,DASH.main,0,2017-12-14T03:16:01Z,2017-12-14 03:16:01,0.0004512405
42,786820,2.315e-05,2,DASH.main,0,2017-12-14T03:13:32Z,2017-12-14 03:13:32,1.1575e-05
43,786819,0.00263402,12,DASH.main,0,2017-12-14T03:13:13Z,2017-12-14 03:13:13,0.00021950166666666665
44,786818,0.01275771,23,DASH.main,0,2017-12-14T03:09:40Z,2017-12-14 03:09:40,0.0005546830434782609
45,786817,0.008420100000000002,30,DASH.main,0,2017-12-14T03:06:00Z,2017-12-14 03:06:00,0.00028067
46,786816,0.00158109,7,DASH.main,0,2017-12-14T03:01:30Z,2017-12-14 03:01:30,0.00022587
47,786815,0.00044565,6,DASH.main,0,2017-12-14T03:00:18Z,2017-12-14 03:00:18,7.4275e-05
0,786814,0.06368797,29,DASH.main,0,2017-12-14T02:59:10Z,2017-12-14 02:59:10,0.002196136896551724
1,786813,0.00183227,17,DASH.main,0,2017-12-14T02:55:20Z,2017-12-14 02:55:20,0.00010778058823529412
2,786812,0.00577396,13,DASH.main,0,2017-12-14T02:52:55Z,2017-12-14 02:52:55,0.00044415076923076923
3,786811,0.03440927,36,DASH.main,0,2017-12-14T02:50:54Z,2017-12-14 02:50:54,0.0009558130555555556
4,786810,1e-05,2,DASH.main,0,2017-12-14T02:47:42Z,2017-12-14 02:47:42,5e-06
5,786809,0.00152476,4,DASH.main,0,2017-12-14T02:47:34Z,2017-12-14 02:47:34,0.00038119
6,786808,0.00464903,25,DASH.main,0,2017-12-14T02:47:23Z,2017-12-14 02:47:23,0.0001859612
7,786807,0.00798595,29,DASH.main,0,2017-12-14T02:44:24Z,2017-12-14 02:44:24,0.00027537758620689654
8,786806,0.00524565,23,DASH.main,0,2017-12-14T02:38:58Z,2017-12-14 02:38:58,0.00022807173913043485
9,786805,0.01953684,28,DASH.main,0,2017-12-14T02:35:54Z,2017-12-14 02:35:54,0.0006977442857142857
10,786804,0.0331364,13,DASH.main,0,2017-12-14T02:31:47Z,2017-12-14 02:31:47,0.0025489538461538463
11,786803,0.00047606,4,DASH.main,0,2017-12-14T02:29:58Z,2017-12-14 02:29:58,0.000119015
12,786802,0.05041232,33,DASH.main,0,2017-12-14T02:29:25Z,2017-12-14 02:29:25,0.0015276460606060607
13,786801,0.00550641,39,DASH.main,0,2017-12-14T02:25:12Z,2017-12-14 02:25:12,0.00014119
14,786800,0.06365548,47,DASH.main,0,2017-12-14T02:17:57Z,2017-12-14 02:17:57,0.001354371914893617
15,786799,0.04932618,27,DASH.main,0,2017-12-14T02:11:30Z,2017-12-14 02:11:30,0.0018268955555555558
16,786798,0.00115015,5,DASH.main,0,2017-12-14T02:06:46Z,2017-12-14 02:06:46,0.00023003
17,786797,0.01557974,27,DASH.main,0,2017-12-14T02:05:53Z,2017-12-14 02:05:53,0.0005770274074074074
18,786796,0.00106049,11,DASH.main,0,2017-12-14T02:02:27Z,2017-12-14 02:02:27,9.640818181818182e-05
19,786795,6.87e-05,4,DASH.main,0,2017-12-14T02:00:20Z,2017-12-14 02:00:20,1.7175e-05
20,786794,0.00635699,33,DASH.main,0,2017-12-14T02:00:05Z,2017-12-14 02:00:05,0.0001926360606060606
21,786793,0.00285488,6,DASH.main,0,2017-12-14T01:53:49Z,2017-12-14 01:53:49,0.0004758133333333334
22,786792,0.00012954,5,DASH.main,0,2017-12-14T01:53:30Z,2017-12-14 01:53:30,2.590800000000001e-05
23,786791,0.01373746,173,DASH.main,0,2017-12-14T01:52:40Z,2017-12-14 01:52:40,7.940728323699422e-05
24,786790,0.16877058,18,DASH.main,0,2017-12-14T01:47:02Z,2017-12-14 01:47:02,0.009376143333333331
25,786789,0.00072258,11,DASH.main,0,2017-12-14T01:43:53Z,2017-12-14 01:43:53,6.568909090909091e-05
26,786788,0.00646143,65,DASH.main,0,2017-12-14T01:41:44Z,2017-12-14 01:41:44,9.940661538461538e-05
27,786787,0.0040797,8,DASH.main,0,2017-12-14T01:34:08Z,2017-12-14 01:34:08,0.0005099625
