,Height,RewardFee,Transactions,blockchain,nonce,time,Time,AvgFee/Tx
0,2009414,127.10105414,73,DOGE.main,0,2017-12-13T17:59:57Z,2017-12-13 17:59:57,1.7411103306849316
1,2009413,71.79705151,50,DOGE.main,0,2017-12-13T17:56:28Z,2017-12-13 17:56:28,1.4359410302
2,2009412,49.57976368,36,DOGE.main,0,2017-12-13T17:54:42Z,2017-12-13 17:54:42,1.3772156577777777
3,2009411,10.18179456,10,DOGE.main,0,2017-12-13T17:52:45Z,2017-12-13 17:52:45,1.018179456
4,2009410,38.00000004,9,DOGE.main,0,2017-12-13T17:52:12Z,2017-12-13 17:52:12,4.222222226666667
5,2009409,0.0,1,DOGE.main,0,2017-12-13T17:52:02Z,2017-12-13 17:52:02,0.0
6,2009408,8.0,7,DOGE.main,0,2017-12-13T17:51:51Z,2017-12-13 17:51:51,1.1428571428571428
7,2009407,12.0,15,DOGE.main,0,2017-12-13T17:51:24Z,2017-12-13 17:51:24,0.8
8,2009406,0.0,1,DOGE.main,0,2017-12-13T17:51:12Z,2017-12-13 17:51:12,0.0
9,2009405,53.28806133,50,DOGE.main,0,2017-12-13T17:51:00Z,2017-12-13 17:51:00,1.0657612266
10,2009404,0.0,1,DOGE.main,0,2017-12-13T17:50:47Z,2017-12-13 17:50:47,0.0
11,2009403,92.92918775,76,DOGE.main,0,2017-12-13T17:49:07Z,2017-12-13 17:49:07,1.2227524703947368
12,2009402,33.99999997,19,DOGE.main,0,2017-12-13T17:45:57Z,2017-12-13 17:45:57,1.789473682631579
13,2009401,7.0,8,DOGE.main,0,2017-12-13T17:45:12Z,2017-12-13 17:45:12,0.875
14,2009400,14.010932,13,DOGE.main,0,2017-12-13T17:45:01Z,2017-12-13 17:45:01,1.077764
15,2009399,111.27853323000001,79,DOGE.main,0,2017-12-13T17:44:37Z,2017-12-13 17:44:37,1.4085890282278482
16,2009398,8.28502333,12,DOGE.main,0,2017-12-13T17:40:43Z,2017-12-13 17:40:43,0.6904186108333333
17,2009397,5.0,6,DOGE.main,0,2017-12-13T17:40:14Z,2017-12-13 17:40:14,0.8333333333333334
18,2009396,65.19214582000001,51,DOGE.main,0,2017-12-13T17:39:57Z,2017-12-13 17:39:57,1.278277369019608
19,2009395,27.62148356,26,DOGE.main,0,2017-12-13T17:37:17Z,2017-12-13 17:37:17,1.0623647523076925
20,2009394,0.0,1,DOGE.main,0,2017-12-13T17:37:01Z,2017-12-13 17:37:01,0.0
