,Height,RewardFee,Transactions,blockchain,nonce,time,Time,AvgFee/Tx
0,1331948,0.03511858,8,LTC.main,0,2017-12-14T07:59:06Z,2017-12-14 07:59:06,0.0043898225
1,1331947,0.19342413,87,LTC.main,0,2017-12-14T07:58:56Z,2017-12-14 07:58:56,0.0022232658620689656
2,1331946,0.26425926,223,LTC.main,0,2017-12-14T07:57:52Z,2017-12-14 07:57:52,0.0011850191031390134
3,1331945,0.05045004,41,LTC.main,0,2017-12-14T07:54:26Z,2017-12-14 07:54:26,0.0012304887804878049
4,1331944,0.26168388,167,LTC.main,0,2017-12-14T07:54:01Z,2017-12-14 07:54:01,0.001566969341317365
5,1331943,0.0264694,35,LTC.main,0,2017-12-14T07:51:31Z,2017-12-14 07:51:31,0.0007562685714285715
6,1331942,0.7820858,457,LTC.main,0,2017-12-14T07:51:05Z,2017-12-14 07:51:05,0.0017113474835886216
7,1331941,0.0860881,28,LTC.main,0,2017-12-14T07:44:46Z,2017-12-14 07:44:46,0.003074575
8,1331940,0.43779436,509,LTC.main,0,2017-12-14T07:44:17Z,2017-12-14 07:44:17,0.0008601067976424362
9,1331939,0.66614195,155,LTC.main,0,2017-12-14T07:44:12Z,2017-12-14 07:44:12,0.00429769
10,1331938,0.1787453,153,LTC.main,0,2017-12-14T07:34:39Z,2017-12-14 07:34:39,0.001168269934640523
11,1331937,0.05440879,29,LTC.main,0,2017-12-14T07:32:55Z,2017-12-14 07:32:55,0.001876165172413793
12,1331936,0.07316427,93,LTC.main,0,2017-12-14T07:32:47Z,2017-12-14 07:32:47,0.0007867125806451614
13,1331935,0.99429672,616,LTC.main,0,2017-12-14T07:31:39Z,2017-12-14 07:31:39,0.001614118051948052
14,1331934,0.01602449,19,LTC.main,0,2017-12-14T07:22:54Z,2017-12-14 07:22:54,0.0008433942105263157
15,1331933,1.07549776,659,LTC.main,0,2017-12-14T07:22:44Z,2017-12-14 07:22:44,0.0016320148103186646
16,1331932,0.027041990000000002,34,LTC.main,0,2017-12-14T07:14:12Z,2017-12-14 07:14:12,0.0007953526470588236
