,BTC,ETH,LTC,DASH,DOGE
Currency_Market,16721686,96276334,54256933,7748554,
Price_USD,16417.53,472.98,194.86,745.08,
Market_Capitalization,274528733601.0,45536753022.0,10572768797.0,5773316789.0,
Transactions_Mean,2081.38931298,165.2,144.2,9.6,6.6
Transactions_Std,638.414376796,60.8912965866,187.891458028,10.5971694334,4.33589667773576
Transactions_Percentile95,2828.5,259.5999999999998,399.99999999999994,24.199999999999996,11.6
AvgFee/Tx_Mean,0.00065917351145,0.00242397704241,0.00127956902448,0.000240738061905,1.22
AvgFee/Tx_Std,0.000255926704375,0.00122969359455,0.000621489555989,0.000180974443247,0.5454865310487103
AvgFee/Tx_Percentile95,0.0010583950000000002,0.005100646341463421,0.00191513310787833,0.0004817742,1.9466666666666665
RewardFee_Mean,2.6323796729,0.3563536,0.22112067,0.002095614,9.4
RewardFee_Std,1.02194518607,0.174885971204,0.307112971817,0.00192937174959,8.648699324175862
RewardFee_Percentile95,4.2259530949999995,0.5795759999999998,0.637201642,0.004633038,20.0
WaitingTime_Mean,491.607692308,17.0833333333,98.0,73.5,32.75
WaitingTime_Std,424.245184633,11.5492016162,133.638816716,79.0295303457,14.361406616345072
WaitingTime_Percentile95,1326.1,38.7,259.94999999999993,168.74999999999997,48.05
Liquidity_,5.89648816518e-05,0.00011253137721,1.47964679653e-05,1.23630729765e-06,
Cost_,7.572113098,1.52291210403,0.14790693306,0.233594163542,
Processing time_,2.75591570844e-10,5.33095662331e-06,1.44361096596e-07,2.5868714118e-07,7.601107012981757e-07
Liquidity,0.523986137143,1.0,0.131487486709,0.010986334019,
Processing time,5.16964571872e-05,1.0,0.0270797732558,0.0485254635253,0.14258429677967138
Cost,0.200961105432,0.839296377593,0.984392283797,0.975350233178,
Score,0.102913169639,0.964288083909,0.25141674376,0.250315509059,
