,Social,Transaction,Economy,Market Cap,Activity Network
Bitcoin,1.0,1.0,1.0,1.0,1.0
Ethereum,1.0,1.0,1.0,0.9595961138497594,1.0
Bitcoin Cash,0.15189848101518985,0.2455022455022455,0.6063204663449203,0.9191922276995189,0.08594124315167105
Litecoin,1.0,1.0,0.9460008891254913,0.8787883415492783,1.0
Dash,0.14293857061429385,0.16807516807516806,0.3646888650731068,0.8383844553990377,0.5448545514544855
Monero,0.5668543314566854,0.11256761256761257,0.2749196057370392,0.7979805692487971,0.0
Bitcoin Gold,0.004749952500474996,0.1118026118026118,0.10486555426655246,0.7575766830985566,0.015224399038060901
Ethereum Classic,0.1018189818101819,0.4763569763569764,0.19233046270722515,0.717172796948316,0.35362646373536266
Zcash,0.07764922350776492,0.154993654993655,0.5850492868697603,0.6767689107980754,0.0
Dogecoin,0.8490115098849011,0.26521676521676524,0.010036742920943224,0.40496044459503955,0.5012849871501285
Vertcoin,0.2566874331256687,0.11902961902961903,0.02167726744498811,0.342442033657558,0.22085779142208578
Peercoin,0.04144958550414496,0.053604053604053604,0.0006375825705805853,0.09527914290472085,0.01013989860101399
Feathercoin,0.042599574004259955,0.04666054666054666,0.004788794699004223,0.07419427492580573,0.02717972820271797
Namecoin,0.03153968460315397,0.05085005085005085,0.0030349676697092784,0.050525706949474294,0.042669573304266954
Reddcoin,0.26108738912610874,0.051817551817551814,0.00047283437647925103,0.04229496495770504,0.021299787002129977
Blackcoin,0.07151928480715193,0.05052155052155052,0.0002026410186826344,0.030077863969922135,0.014439855601443986
Auroracoin,0.006499935000649993,0.0353970353970354,0.0011138906559630304,0.020169006979830994,0.008519914800851992
Novacoin,0.0,0.05013005013005013,8.774464699858152e-05,0.011749680988250319,0.0025499745002549976
Quarkcoin,0.02052979470205298,0.0,0.0,0.002416735997583264,0.002019979800201998
Megacoin,0.0024199758002419977,0.04331254331254331,0.00011184262758780814,0.0,0.0010999890001099988
